timestamp;age;gender;faculty;work;smartphone;smarttv;laptop;smartwatch;tablet;total
10/10/2016 13:05;28;M;School of Bussiness;4;3;0;6;0;0;9
10/10/2016 13:33;30;M;School of Bussiness;6;4;0;5;0;0;9
10/11/2016 13:48;22;F;Journalism;5;4;0;5;3;0;12
10/11/2016 13:59;22;F;Journalism;1;5;0;2;1;0;8
10/11/2016 14:01;30;M;Journalism;7;4;2;3;0;0;9
10/11/2016 14:02;36;M;Journalism;8;3;4;4;0;3;14
10/11/2016 14:02;26;F;Journalism;2;3;0;3;0;2;8
10/11/2016 14:13;25;M;School of Bussiness;2;2;0;2;0;0;4
10/11/2016 14:18;31;M;School of Bussiness;9;2;0;4;0;0;6
10/11/2016 15:15;35;F;Journalism;9;3;2;2;2;3;12
10/11/2016 16:25;33;F;Journalism;11;3;3;6;0;0;12
10/11/2016 16:25;40;M;Politic School;12;3;1;8;0;0;12
10/11/2016 16:44;28;F;Politic School;5;4;0;6;0;0;10
10/11/2016 17:26;33;F;Arts;9;5;1;3;0;0;9
10/11/2016 17:32;28;M;Arts;6;2;0;0;0;0;2
10/11/2016 17:33;24;M;Politic School;1;3;0;4;0;0;7
10/11/2016 18:10;33;M;Arts;8;1;0;4;0;0;5
10/12/2016 09:18;29;M;Arts;2;1;0;6;0;0;7
10/12/2016 12:17;21;F;Journalism;1;4;0;1;0;0;5
10/13/2016 9:53;23;F;School of Bussiness;4;4;2;3;1;0;10
10/13/2016 9:53;34;F;Journalism;14;3;0;3;0;0;6
10/13/2016 9:54;38;F;Journalism;16;2;0;5;0;0;7
10/13/2016 10:10;24;M;Journalism;4;3;3;5;0;0;11
10/13/2016 11:14;24;F;Journalism;2;3;2;4;0;0;9
10/13/2016 12:11;25;F;Journalism;4;3;2;4;0;0;9
10/13/2016 12:56;24;M;Journalism;1;4;0;3;0;0;7
10/13/2016 16:22;27;F;Journalism;6;5;1;3;0;0;9
10/15/2016 1:08;23;M;Journalism;3;1;0;2;0;0;3
